TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-28,2026-08-28,CM,NSE,STK,3389,INE204E01012,AGARIND,EQ,,,,,AGARWAL INDS CORP LTD.,466.25,470.00,463.85,465.30,464.60,465.50,,465.41,,,15795,7366144.05,1074,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,27309,INE0P8X01016,AGARWALTUF,SM,,,,,AGARWAL TOUGH GLASS IND L,141.00,141.00,139.00,139.10,139.05,140.80,,139.10,,,9600,1343400.00,8,F1,1200,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,1412,INE415A01038,AGI,EQ,,,,,AGI GREENPAC LIMITED,737.70,777.15,725.70,774.80,775.00,737.70,,774.77,,,385938,294948404.75,16492,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,24445,INE976R01033,AGIIL,EQ,,,,,AGI INFRA LIMITED,297.00,297.00,287.25,289.10,290.00,288.80,,289.08,,,447958,130133101.00,6735,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,11072,INE449G01018,AGRITECH,EQ,,,,,AGRI-TECH (INDIA) LIMITED,101.11,103.63,100.06,102.90,102.90,101.11,,102.95,,,1874,191729.58,76,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,9046,INE740V01019,AGROPHOS,EQ,,,,,AGRO PHOS INDIA LIMITED,27.00,27.49,26.01,26.34,26.35,27.04,,26.34,,,15966,421412.56,164,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,759202,INE583L01014,AGSTRA,BZ,,,,,AGS TRANSACT TECH LTD,1.95,2.05,1.95,2.01,2.03,2.00,,2.01,,,108607,219730.04,255,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,2004,INE00PV01013,AHLADA,EQ,,,,,AHLADA ENGINEERS LIMITED,37.57,39.07,37.50,38.06,38.85,38.47,,38.06,,,4759,181066.75,86,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,17833,INE758C01029,AHLUCONT,EQ,,,,,AHLUWALIA CONT IND LTD,638.00,647.75,630.05,641.10,640.00,636.60,,641.07,,,80833,51792669.95,5603,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,13086,INE212H01026,AIAENG,EQ,,,,,AIA ENGINEERING LIMITED,4232.30,4260.70,4192.20,4234.20,4249.90,4232.30,,4234.22,,,33928,143297431.70,11401,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,23984,INE0RUV01018,AIMTRON,SM,,,,,AIMTRON ELECTRONICS LTD,1640.00,1655.95,1612.50,1644.45,1655.95,1647.15,,1644.45,,,26200,42964460.00,97,F1,200,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,9878,INE805A01014,GOLDTECH,BE,,,,,AION-TECH SOLUTIONS LTD,50.66,51.98,50.11,50.83,51.24,50.81,,50.86,,,7072,361628.72,69,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,9897,INE645W01026,AIRAN,EQ,,,,,AIRAN LIMITED,14.98,15.47,14.84,15.09,15.05,14.81,,15.09,,,58965,891361.47,405,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,6068,INE801L01010,AIROLAM,EQ,,,,,AIRO LAM LIMITED,88.20,89.00,86.51,88.88,88.90,87.50,,88.88,,,1901,168838.10,43,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,8124,INE031B01049,AJANTPHARM,EQ,,,,,AJANTA PHARMA LIMITED,3584.90,3596.00,3541.60,3557.00,3566.00,3543.60,,3557.52,,,39913,141912880.60,12218,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,29624,INE274Y01021,AJAXENGG,EQ,,,,,AJAX ENGINEERING LIMITED,577.00,579.00,566.25,571.10,570.00,579.10,,571.11,,,35790,20427995.85,4911,F1,1,,,,,
